url,Name,Price,Rating,제조회사,등록년월,칩셋 제조사,제품 시리즈,GPU 제조 공정,AMD 칩셋,인터페이스,권장 파워용량,전원 포트,가로(길이),부스트클럭,스트림 프로세서,메모리 종류,메모리 클럭,메모리 용량,메모리 버스,HDMI,DisplayPort,모니터 지원,,8K 지원,HDR 지원,HDCP 지원,방열판,히트파이프,팬쿨러,팬 개수,두께,제로팬(0-dB기술),백플레이트,DrMOS,LED 라이트,LED온오프스위치,측면 LED,팬 LED,VGA지지대,3x8핀 to 16핀 커넥터,적합성평가인증,안전확인인증,NVIDIA 칩셋,베이스클럭,쿠다 프로세서,HDCP 2.3,사용전력,베이퍼챔버,전원부,2x8핀 to 16핀 커넥터,OC클럭,Dual BIOS,전면 LED,PWM 커넥터,4x8핀 to 16핀 커넥터,16K 지원,후면 추가팬,4K 지원,DVI,전체 칩셋,인텔 칩셋,HDMI2.1,DP2.1,카드 크기,후면 LED,오버클럭 물리키,일반브라켓,LP브라켓,HDMI2.0,DP2.0,수냉 쿨링,수냉 장착 지원,LCD 모니터링,유통회사,멀티VGA 지원,Anti-Sag브라켓,mini DP,DP to mDP 커넥터,DP1.4,클립 온 팬,DP,USB Type-C,기가비트LAN,세로(높이),그래픽카드 구성,12K 지원,썬더볼트3,USB3.x 5Gbps,파워 구성,기타 칩셋
//img.danawa.com/prod_img/500000/490/376/img/75376490_1.jpg?shrink=130:130&_v=20250207103619,PALIT 지포스 RTX 5090 GAMEROCK D7 32GB 이엠텍,4747960원,5.0,PALIT(제조사 웹사이트 바로가기),2025년 01월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워1000W 이상,16핀(12V2x6) x1,331.9mm,2407MHz,21760개,GDDR7,28000MHz,32GB,512-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,70.4mm,○,○,○,○,,○,,○,,R-R-EMT-PT-N509인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5090,2017MHz,21760개,○,575W,○,,,,○,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/540/062/img/81062540_1.jpg?shrink=130:130&_v=20250416220349,ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 16GB,725000원,N/A,ZOTAC(제조사 웹사이트 바로가기),2025년 04월,NVIDIA,지포스 RTX 50,4nm,,PCIe5.0x16(at x8),정격파워650W 이상,8핀 x1,220.5mm,2602MHz,4608개,GDDR7,28000MHz,16GB,128-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,2팬,41mm,○,○,,,,,,,,R-R-ztp-1N772M00인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5060 Ti,2407MHz,4608개,○,180W,,5+2페이즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/306/231/img/35231306_1.jpg?shrink=130:130&_v=20250210141835,PowerColor 라데온 RX 7600 Fighter D6 8GB 대원씨티에스,364990원,5.0,PowerColor(제조사 웹사이트 바로가기),2024년 02월,AMD(ATi),라데온 RX 7000,,RX 7600,PCIe4.0x16(at x8),정격파워550W 이상,8핀 x1,200mm,2655MHz,2048개,GDDR6,18000MHz,8GB,128-bit,1개,3개,,,○,,,○,○,○,2팬,39mm,○,○,,,,,,,,R-R-TUG-RX7600F인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/958/086/img/77086958_1.jpg?shrink=130:130&_v=20250228152158,갤럭시 GALAX 지포스 RTX 5070 Ti EX GAMER WHITE OC D7 16GB,1539840원,5.0,갤럭시(제조사 웹사이트 바로가기),2025년 02월,NVIDIA,지포스 RTX 50,4nm,,PCIe5.0x16,정격파워750W 이상,16핀(12V2x6) x1,322mm,2497MHz,8960개,GDDR7,28000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,52mm,○,○,,○,,○,○,○,○,R-R-GXL-RTX5070TI인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070 Ti,2295MHz,8960개,○,300W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/985/380/img/77380985_1.jpg?shrink=130:130&_v=20250306230129,PowerColor 라데온 RX 9070 XT Hellhound D6 16GB 대원씨티에스,1184000원,N/A,PowerColor(제조사 웹사이트 바로가기),2025년 03월,AMD(ATi),라데온 RX 9000,4nm,RX 9070 XT,PCIe5.0x16,정격파워800W 이상,8핀 x2,327mm,2970MHz,4096개,GDDR6,20000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,49mm,○,○,○,○,○,○,,,,R-R-TUG-RX9070XT-H인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,3010MHz,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/969/312/img/20312969_1.jpg?shrink=130:130&_v=20241107123108,MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 8GB,658990원,4.9,MSI(제조사 웹사이트 바로가기),2023년 05월,NVIDIA,지포스 RTX 40,4nm,,PCIe4.0x16(at x8),정격파워550W 이상,8핀 x1,199mm,2565MHz,4352개,GDDR6,18000MHz,8GB,128-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,2팬,42mm,○,○,○,,,,,,,R-R-MSI-MS-V515V2인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 4060 Ti,,4352개,○,160W,,,,2580MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/494/075/img/75075494_1.jpg?shrink=130:130&_v=20250204101707,갤럭시 GALAX 지포스 RTX 5080 BLACK OC D7 16GB,1940990원,4.9,갤럭시(제조사 웹사이트 바로가기),2025년 01월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워850W 이상,16핀(12V2x6) x1,303mm,2625MHz,10752개,GDDR7,30000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,,,○,○,○,3팬,49.7mm,○,○,,○,,○,○,○,○,R-R-GXL-RTX5080인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5080,2295MHz,10752개,○,360W,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/594/716/img/81716594_1.jpg?shrink=130:130&_v=20250416220349,GAINWARD 지포스 RTX 5060 Ti 고스트 D7 8GB,679000원,N/A,GAINWARD(제조사 웹사이트 바로가기),2025년 04월,NVIDIA,지포스 RTX 50,4nm,,PCIe5.0x16(at x8),정격파워600W 이상,8핀 x1,262.1mm,2572MHz,4608개,GDDR7,28000MHz,8GB,128-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,2팬,40.1mm,○,○,,○,,○,,,,R-R-DND-GW-R5060TIPY인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5060 Ti,2407MHz,4608개,○,180W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/739/465/img/76465739_1.jpg?shrink=130:130&_v=20250221130052,PALIT 지포스 RTX 5070 Ti GAMEROCK OC D7 16GB 이엠텍,1588940원,N/A,PALIT(제조사 웹사이트 바로가기),2025년 02월,NVIDIA,지포스 RTX 50,,,PCIe5.0x16,정격파워750W 이상,16핀(12V2x6) x1,331.9mm,2512MHz,8960개,GDDR7,28000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,70.4mm,○,○,,○,,,,○,,R-R-EMT-PT-N507TI인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070 Ti,2295MHz,8960개,○,300W,○,,○,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/929/970/img/74970929_1.jpg?shrink=130:130&_v=20250212112308,ZOTAC GAMING 지포스 RTX 5080 SOLID OC D7 16GB,2032980원,5.0,ZOTAC(제조사 웹사이트 바로가기),2025년 01월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워850W 이상,16핀(12V2x6) x1,329.7mm,2640MHz,10752개,GDDR7,30000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,,,,○,○,○,3팬,67.8mm,○,○,,,,○,,○,○,R-R-ztp-1N762P02인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5080,,10752개,○,360W,○,10+4+3페이즈,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/971/074/img/76074971_1.jpg?shrink=130:130&_v=20250214102156,이엠텍 지포스 RTX 5080 MIRACLE WHITE D7 16GB,1989460원,5.0,이엠텍(제조사 웹사이트 바로가기),2025년 02월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워850W 이상,16핀(12V2x6) x1,348mm,2617MHz,10752개,GDDR7,30000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,,,,○,○,○,3팬,62mm,○,○,○,○,,,○,○,○,R-R-EMT-EMT-N508인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5080,2295MHz,10752개,,360W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/093/378/img/77378093_1.jpg?shrink=130:130&_v=20250328130253,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,1407000원,5.0,SAPPHIRE(제조사 웹사이트 바로가기),2025년 03월,AMD(ATi),라데온 RX 9000,4nm,RX 9070 XT,PCIe5.0x16,정격파워750W 이상,16핀(12V2x6) x1,330.8mm,3060MHz,4096개,GDDR6,20000MHz,16GB,256-bit,2개,2개,최대 모니터 4개,,○,○,,○,○,○,3팬,65.7mm,○,○,,○,,,,○,○,R-R-EMT-SP-RX9070XT인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,330W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/262/184/img/75184262_1.jpg?shrink=130:130&_v=20250130225520,GIGABYTE AORUS 지포스 RTX 5080 MASTER ICE D7 16GB 제이씨현,2598990원,5.0,GIGABYTE(제조사 웹사이트 바로가기),2025년 01월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워850W 이상,16핀(12V2x6) x1,360mm,2805MHz,10752개,GDDR7,30000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,,,○,○,○,3팬,75mm,○,○,,○,,○,○,○,○,R-R-GBN-GV-N5080A인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5080,,10752개,○,,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/067/209/img/77209067_1.jpg?shrink=130:130&_v=20250304104448,PALIT 지포스 RTX 5070 Ti GAMEROCK D7 16GB 이엠텍,1513000원,5.0,PALIT(제조사 웹사이트 바로가기),2025년 03월,NVIDIA,지포스 RTX 50,,,PCIe5.0x16,정격파워750W 이상,16핀(12V2x6) x1,331.9mm,2452MHz,8960개,GDDR7,28000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,70.4mm,○,○,,○,,,,○,,R-R-EMT-PT-N507TI인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070 Ti,2295MHz,8960개,○,300W,○,,○,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/254/512/img/13512254_1.jpg?shrink=130:130&_v=20240322110724,MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,428000원,4.8,MSI(제조사 웹사이트 바로가기),2021년 03월,NVIDIA,지포스 RTX 30,8nm,,PCIe4.0x16,정격파워550W 이상,8핀 x1,235mm,1807MHz,3584개,GDDR6,15000MHz,12GB,192-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,2팬,42mm,○,○,,,,,,,,R-R-MSI-MS-V397인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 3060,,3584개,○,최대 170W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/077/313/img/77313077_1.jpg?shrink=130:130&_v=20250305235713,GIGABYTE 지포스 RTX 5070 GAMING OC D7 12GB 피씨디렉트,1078390원,N/A,GIGABYTE(제조사 웹사이트 바로가기),2025년 03월,NVIDIA,지포스 RTX 50,4nm,,PCIe5.0x16,정격파워750W 이상,16핀(12V2x6) x1,327mm,2625MHz,6144개,GDDR7,28000MHz,12GB,192-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,56mm,○,○,,○,,○,○,○,,R-R-GBN-GV-N5070A인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070,2325MHz,6144개,○,,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/939/550/img/76550939_1.jpg?shrink=130:130&_v=20250317164717,MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,5387000원,N/A,MSI(제조사 웹사이트 바로가기),2025년 02월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워1000W 이상,16핀(12V2x6) x1,359mm,2565MHz,21760개,GDDR7,28000MHz,32GB,512-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,76mm,○,○,○,○,,○,,○,,R-R-MSI-MS-V530V1인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5090,,21760개,○,600W,○,,,2580MHz,○,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/039/378/img/77378039_1.jpg?shrink=130:130&_v=20250313110044,SAPPHIRE 라데온 RX 9070 XT PULSE D6 16GB,1228970원,4.0,SAPPHIRE(제조사 웹사이트 바로가기),2025년 03월,AMD(ATi),라데온 RX 9000,4nm,RX 9070 XT,PCIe5.0x16,정격파워750W 이상,8핀 x2,320mm,2970MHz,4096개,GDDR6,20000MHz,16GB,256-bit,2개,2개,최대 모니터 4개,,○,○,,○,○,○,3팬,61.6mm,○,○,,,,,,○,,R-R-EMT-SP-RX9070XT인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,304W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/496/373/img/75373496_1.jpg?shrink=130:130&_v=20250312134602,MSI 지포스 RTX 5080 벤투스 3X OC 플러스 D7 16GB,1858930원,N/A,MSI(제조사 웹사이트 바로가기),2025년 01월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워850W 이상,16핀(12V2x6) x1,303mm,2700MHz,10752개,GDDR7,30000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,49mm,○,○,○,,,,,○,○,R-R-MSI-MS-V531V3인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5080,,10752개,○,360W,,,,2715MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/144/315/img/20315144_1.jpg?shrink=130:130&_v=20240725103539,SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,388790원,4.8,SAPPHIRE(제조사 웹사이트 바로가기),2023년 05월,AMD(ATi),라데온 RX 7000,,RX 7600,PCIe4.0,정격파워550W 이상,8핀 x1,240mm,2754MHz,2048개,GDDR6,18000MHz,8GB,128-bit,1개,3개,,,○,○,,○,○,○,2팬,44.07mm,○,○,,,,,,,,R-R-EMT-SP-RX7600인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
